,FECHA HECHO,COD_DEPTO,DEPARTAMENTO,CODIGO DANE,MUNICIPIO,TIPO DELITO,CANTIDAD,MES DE SECUESTRO
10530,2002-05-04,13,BOLÍVAR,13473,MORALES,SECUESTRO EXTORSIVO,1,5
10531,2002-05-04,13,BOLÍVAR,13473,MORALES,SECUESTRO SIMPLE,1,5
10532,2002-05-04,25,CUNDINAMARCA,25320,GUADUAS,SECUESTRO EXTORSIVO,1,5
10533,2002-05-04,50,META,50001,VILLAVICENCIO,SECUESTRO SIMPLE,1,5
10534,2002-05-04,73,TOLIMA,73001,IBAGUE,SECUESTRO SIMPLE,1,5
10535,2002-05-05,5,ANTIOQUIA,5107,BRICEÑO,SECUESTRO SIMPLE,1,5
10536,2002-05-05,5,ANTIOQUIA,5467,MONTEBELLO,SECUESTRO EXTORSIVO,1,5
10537,2002-05-05,25,CUNDINAMARCA,25290,FUSAGASUGA,SECUESTRO EXTORSIVO,1,5
10538,2002-05-05,41,HUILA,41006,ACEVEDO,SECUESTRO SIMPLE,1,5
10539,2002-05-05,50,META,50001,VILLAVICENCIO,SECUESTRO SIMPLE,1,5
10540,2002-05-05,70,SUCRE,70001,SINCELEJO,SECUESTRO SIMPLE,1,5
10541,2002-05-06,5,ANTIOQUIA,5615,RIONEGRO,SECUESTRO SIMPLE,1,5
10542,2002-05-06,66,RISARALDA,66572,PUEBLO RICO,SECUESTRO EXTORSIVO,2,5
10543,2002-05-06,68,SANTANDER,68255,EL PLAYON,SECUESTRO SIMPLE,1,5
10544,2002-05-06,73,TOLIMA,73001,IBAGUE,SECUESTRO SIMPLE,1,5
10545,2002-05-06,76,VALLE DEL CAUCA,76126,CALIMA,SECUESTRO SIMPLE,1,5
10546,2002-05-07,5,ANTIOQUIA,5107,BRICEÑO,SECUESTRO EXTORSIVO,1,5
10547,2002-05-07,70,SUCRE,70235,GALERAS,SECUESTRO EXTORSIVO,2,5
10548,2002-05-08,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO SIMPLE,1,5
10549,2002-05-08,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1,5
10550,2002-05-08,20,CESAR,20001,VALLEDUPAR,SECUESTRO EXTORSIVO,1,5
10551,2002-05-08,50,META,50001,VILLAVICENCIO,SECUESTRO SIMPLE,2,5
10552,2002-05-08,73,TOLIMA,73168,CHAPARRAL,SECUESTRO SIMPLE,1,5
10553,2002-05-09,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO SIMPLE,1,5
10554,2002-05-09,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1,5
10555,2002-05-09,41,HUILA,41001,NEIVA,SECUESTRO EXTORSIVO,1,5
10556,2002-05-09,47,MAGDALENA,47189,CIENAGA,SECUESTRO EXTORSIVO,2,5
10557,2002-05-09,47,MAGDALENA,47189,CIENAGA,SECUESTRO SIMPLE,1,5
10558,2002-05-10,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO SIMPLE,1,5
10559,2002-05-10,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,SECUESTRO SIMPLE,1,5
10560,2002-05-10,13,BOLÍVAR,13006,ACHI,SECUESTRO EXTORSIVO,1,5
10561,2002-05-10,19,CAUCA,19001,POPAYAN,SECUESTRO SIMPLE,1,5
10562,2002-05-10,20,CESAR,20621,LA PAZ,SECUESTRO EXTORSIVO,1,5
10563,2002-05-10,25,CUNDINAMARCA,25019,ALBAN,SECUESTRO EXTORSIVO,1,5
10564,2002-05-10,68,SANTANDER,68745,SIMACOTA,SECUESTRO SIMPLE,1,5
10565,2002-05-10,81,ARAUCA,81736,SARAVENA,SECUESTRO EXTORSIVO,4,5
10566,2002-05-10,81,ARAUCA,81736,SARAVENA,SECUESTRO SIMPLE,1,5
10567,2002-05-11,5,ANTIOQUIA,5615,RIONEGRO,SECUESTRO SIMPLE,1,5
10568,2002-05-11,17,CALDAS,17042,ANSERMA,SECUESTRO EXTORSIVO,1,5
10569,2002-05-11,20,CESAR,20238,EL COPEY,SECUESTRO EXTORSIVO,1,5
10570,2002-05-11,50,META,50001,VILLAVICENCIO,SECUESTRO SIMPLE,1,5
10571,2002-05-11,50,META,50683,SAN JUAN DE ARAMA,SECUESTRO SIMPLE,1,5
10572,2002-05-11,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,SECUESTRO SIMPLE,1,5
10573,2002-05-12,5,ANTIOQUIA,5591,PUERTO TRIUNFO,SECUESTRO SIMPLE,1,5
10574,2002-05-12,73,TOLIMA,73861,VENADILLO,SECUESTRO EXTORSIVO,4,5
10575,2002-05-13,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,1,5
10576,2002-05-13,70,SUCRE,70001,SINCELEJO,SECUESTRO EXTORSIVO,1,5
10577,2002-05-13,70,SUCRE,70001,SINCELEJO,SECUESTRO SIMPLE,1,5
10578,2002-05-13,73,TOLIMA,73148,CARMEN DE APICALA,SECUESTRO SIMPLE,1,5
10579,2002-05-14,20,CESAR,20013,AGUSTIN CODAZZI,SECUESTRO EXTORSIVO,1,5
10580,2002-05-14,20,CESAR,20013,AGUSTIN CODAZZI,SECUESTRO SIMPLE,8,5
10581,2002-05-14,76,VALLE DEL CAUCA,76001,CALI,SECUESTRO SIMPLE,1,5
10582,2002-05-14,76,VALLE DEL CAUCA,76616,RIOFRIO,SECUESTRO SIMPLE,1,5
10583,2002-05-15,17,CALDAS,17174,CHINCHINA,SECUESTRO EXTORSIVO,1,5
10584,2002-05-15,41,HUILA,41001,NEIVA,SECUESTRO EXTORSIVO,1,5
