DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,TIPO DE HURTO,CANTIDAD
CUNDINAMARCA,CACHIPAY,25123000,ARMA BLANCA / CORTOPUNZANTE,27/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
PUTUMAYO,PUERTO LEGUÍZAMO,86573000,ARMA BLANCA / CORTOPUNZANTE,27/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
GUAJIRA,RIOHACHA (CT),44001000,ARMA DE FUEGO,27/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
BOLÍVAR,PINILLOS,13549000,SIN EMPLEO DE ARMAS,27/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,TAURAMENA,85410000,SIN EMPLEO DE ARMAS,27/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,27/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,2
CUNDINAMARCA,BOJACÁ,25099000,SIN EMPLEO DE ARMAS,27/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,TAUSA,25793000,SIN EMPLEO DE ARMAS,27/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
HUILA,LA PLATA,41396000,SIN EMPLEO DE ARMAS,27/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,COYAIMA,73217000,SIN EMPLEO DE ARMAS,27/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SINCELEJO (CT),70001000,ARMA BLANCA / CORTOPUNZANTE,28/06/2019,FEMENINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
SUCRE,OVEJAS,70508000,ARMA DE FUEGO,28/06/2019,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,28/06/2019,NO REPORTA,NO REPORTA,HURTO ENTIDADES FINANCIERAS,1
CUNDINAMARCA,NARIÑO,25483000,ARMA BLANCA / CORTOPUNZANTE,28/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
ARAUCA,CRAVO NORTE,81220000,SIN EMPLEO DE ARMAS,28/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACÁ,PUERTO BOYACÁ,15572000,SIN EMPLEO DE ARMAS,28/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CALDAS,SALAMINA,17653000,SIN EMPLEO DE ARMAS,28/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAQUETÁ,SAN JOSÉ DEL FRAGUA,18610000,SIN EMPLEO DE ARMAS,28/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,MANÍ,85139000,SIN EMPLEO DE ARMAS,28/06/2019,NO REPORTA,NO REPORTA,HURTO ABIGEATO,1
CASANARE,TAURAMENA,85410000,SIN EMPLEO DE ARMAS,28/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,FACATATIVÁ,25269000,SIN EMPLEO DE ARMAS,28/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,ACACÍAS,50006000,SIN EMPLEO DE ARMAS,28/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,PUERTO RICO,50590000,SIN EMPLEO DE ARMAS,28/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,PUENTE NACIONAL,68572000,SIN EMPLEO DE ARMAS,28/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,ATACO,73067000,SIN EMPLEO DE ARMAS,28/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,CHAPARRAL,73168000,SIN EMPLEO DE ARMAS,28/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
